,candidate_is_explicit_mention,candidate_is_last_speaker,candidate_is_previous_speaker,candidate_is_recent_mention,conversation_length,conversation_speaker_change,conversation_turn_index,discourse_context_length,discourse_dialogue_position,lexical_has_exclamation,lexical_has_question_mark,lexical_quote_length_chars,lexical_quote_length_tokens
candidate_is_explicit_mention,1.0,-0.039237925597781775,0.08903458417823795,-0.100125818277827,0.003764711997041129,-0.0056422622996169305,0.003764711997041129,0.07574043130984112,0.003764711997041129,0.011318346270659438,-0.007782634637654945,-0.002116655485672703,-0.0022979617207387866
candidate_is_last_speaker,-0.039237925597781775,1.0,-0.11169362281872844,0.31936382237570626,0.0019024648683502172,-0.005112036097202981,0.0019024648683502172,-0.023985114287364818,0.0019024648683502172,-0.012843136016470373,-0.00011358887863232255,-0.037658545471808184,-0.03739183129067737
candidate_is_previous_speaker,0.08903458417823795,-0.11169362281872844,1.0,-0.19943618405351568,0.0024506310841948386,-0.004145991889881403,0.0024506310841948386,-0.024134357510892934,0.0024506310841948386,-0.01274525355883344,-6.627636571731456e-05,-0.037791371872017726,-0.037519325267226254
candidate_is_recent_mention,-0.100125818277827,0.31936382237570626,-0.19943618405351568,1.0,-0.007158973332447249,0.009555374991946312,-0.007158973332447249,0.0016766252471292732,-0.007158973332447249,0.0024535537624459044,-0.017037115983302892,0.0036979348954948033,0.003916616702160558
conversation_length,0.003764711997041129,0.0019024648683502172,0.0024506310841948386,-0.007158973332447249,1.0,0.011727657118579732,1.0,-0.05293757259521965,1.0,-0.06319595807042866,0.006651915864367735,-0.07299768732166659,-0.07433468059494955
conversation_speaker_change,-0.0056422622996169305,-0.005112036097202981,-0.004145991889881403,0.009555374991946312,0.011727657118579732,1.0,0.011727657118579732,-0.05023588845133742,0.011727657118579732,-0.014591365081570894,0.023901573442053528,-0.02159350243363559,-0.021551186985524773
conversation_turn_index,0.003764711997041129,0.0019024648683502172,0.0024506310841948386,-0.007158973332447249,1.0,0.011727657118579732,1.0,-0.05293757259521965,1.0,-0.06319595807042866,0.006651915864367735,-0.07299768732166659,-0.07433468059494955
discourse_context_length,0.07574043130984112,-0.023985114287364818,-0.024134357510892934,0.0016766252471292732,-0.05293757259521965,-0.05023588845133742,-0.05293757259521965,1.0,-0.05293757259521965,0.08626349046360562,-0.015292316376170397,0.03335688795094284,0.03298305834180187
discourse_dialogue_position,0.003764711997041129,0.0019024648683502172,0.0024506310841948386,-0.007158973332447249,1.0,0.011727657118579732,1.0,-0.05293757259521965,1.0,-0.06319595807042866,0.006651915864367735,-0.07299768732166659,-0.07433468059494955
lexical_has_exclamation,0.011318346270659438,-0.012843136016470373,-0.01274525355883344,0.0024535537624459044,-0.06319595807042866,-0.014591365081570894,-0.06319595807042866,0.08626349046360562,-0.06319595807042866,1.0,-0.030585568095209004,0.15821202587229313,0.15797539728564708
lexical_has_question_mark,-0.007782634637654945,-0.00011358887863232255,-6.627636571731456e-05,-0.017037115983302892,0.006651915864367735,0.023901573442053528,0.006651915864367735,-0.015292316376170397,0.006651915864367735,-0.030585568095209004,1.0,0.060935722015915655,0.061141676273133605
lexical_quote_length_chars,-0.002116655485672703,-0.037658545471808184,-0.037791371872017726,0.0036979348954948033,-0.07299768732166659,-0.02159350243363559,-0.07299768732166659,0.03335688795094284,-0.07299768732166659,0.15821202587229313,0.060935722015915655,1.0,0.997722860553014
lexical_quote_length_tokens,-0.0022979617207387866,-0.03739183129067737,-0.037519325267226254,0.003916616702160558,-0.07433468059494955,-0.021551186985524773,-0.07433468059494955,0.03298305834180187,-0.07433468059494955,0.15797539728564708,0.061141676273133605,0.997722860553014,1.0
