novel,quotes,candidate_count,mapped_candidates,unmapped_candidates,mapping_rate,ambiguous_mappings,booknlp_entities,alias_count
AHandfulOfDust,9766,115,74,41,64.35,8,2499,220
APassageToIndia,10301,47,40,7,85.11,4,3600,323
ARoomWithAView,6691,57,45,12,78.95,4,2189,236
AlicesAdventuresInWonderland,3742,51,29,22,56.86,3,499,84
AnneOfGreenGables,5005,116,87,29,75.0,5,2412,308
DaisyMiller,2042,12,11,1,91.67,1,752,52
Emma,7586,20,20,0,100.0,4,3100,351
HardTimes,6698,27,21,6,77.78,3,2826,215
HowardsEnd,9808,56,41,15,73.21,7,3653,315
MansfieldPark,7053,28,27,1,96.43,5,3325,312
NightAndDay,7508,51,45,6,88.24,2,2907,274
NorthangerAbbey,3484,22,22,0,100.0,1,1871,146
OliverTwist,11981,91,46,45,50.55,2,3954,277
Persuasion,2948,38,36,2,94.74,6,2146,199
PrideAndPrejudice,7382,71,65,6,91.55,13,2015,222
SenseAndSensibility,5377,23,22,1,95.65,4,2420,206
TheAgeOfInnocence,5507,51,47,4,92.16,2,3298,421
TheAwakening,2070,24,21,3,87.5,6,1282,132
TheGambler,3415,22,14,8,63.64,2,1540,126
TheInvisibleMan,2971,34,21,13,61.76,4,1279,99
TheManWhoWasThursday,3882,32,18,14,56.25,3,2134,115
TheMysteriousAffairAtStyles,10165,33,28,5,84.85,4,1351,165
ThePictureOfDorianGray,3868,34,26,8,76.47,1,2092,176
TheSignOfTheFour,2622,37,31,6,83.78,2,1503,109
TheSportOfTheGods,2977,38,27,11,71.05,3,1410,140
TheSunAlsoRises,9167,46,25,21,54.35,1,2250,175
WhereAngelsFearToTread,3398,18,12,6,66.67,0,1607,120
WinnieThePooh,3558,13,10,3,76.92,0,442,95
