feature,importance,rank
candidate_is_recent_mention,0.06926933009266292,1
candidate_is_previous_speaker,0.06054990126082331,2
candidate_is_explicit_mention,0.04068054078687529,3
candidate_is_last_speaker,0.0222391007139602,4
candidate_in_participant_stack,0.014552635576484873,5
candidate_stack_depth,0.013322193528786252,6
conv_interruption_distance,0.009281482606714242,7
nearest_coref_dist,0.009190338751329196,8
candidate_in_quote_chain,0.008582713048761948,9
candidate_is_attributed_speaker,0.006729454655931955,10
discourse_context_length,0.006456023089776708,11
chain_recency,0.006288926021570718,12
recent_mention_count,0.0015798268266747461,13
conv_active_id,6.0762570256711615e-05,14
lexical_quote_length_tokens,4.5571927692544814e-05,15
discourse_dialogue_position,0.0,16
character_lexical_similarity,0.0,17
conversation_turn_index,0.0,18
lexical_has_exclamation,-0.00010633449794925643,19
lexical_quote_length_chars,-0.00021266899589851286,20
lexical_has_question_mark,-0.00027343156615526886,21
conversation_length,-0.0008962479112866184,22
conversation_speaker_change,-0.002293787027191252,23
